ID,Manufacturer,Product,Type,Product Code,Brace Type,Capacity (kgf)
0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,280
1,Tracklok,Gridlok,,GRD-10,Stud Braces,280
2,Tracklok,Gridlok, Peakform, GRD-10P,Stud Braces,280
3,Tracklok,Gridlok, Screwfix, TCR GRD-10S,Stud Braces,280
4,Tracklok,Gridlok, C Channel, GRD-10C,Stud Braces,280
5,Tracklok,Gridlok, U-Profile, GRD-10U,Stud Braces,280
6,Tracklok,Gridlok, Furring Channel, GRD-10F,Stud Braces,280
7,Tracklok,Gridlok,, GRD-10,Wire Braces,280
8,Tracklok,Gridlok, Peakform, GRD-10P,Wire Braces,280
9,Tracklok,Gridlok, Screwfix, TCR GRD-10S,Wire Braces,280
10,Tracklok,Gridlok, C Channel, GRD-10C,Wire Braces,280
11,Tracklok,Gridlok, U-Profile, GRD-10U,Wire Braces,280
12,Tracklok,Gridlok, Furring Channel, GRD-10F,Wire Braces,280
