Manufacturer,Type,Plenum Height,Brace Specification,Capacity (kg)
Tracklok,Gridlok,200,Folded Plate,280
Tracklok,Gridlok,400,64x0.55BMT Stud,250
Tracklok,Gridlok,600,64x0.55BMT Stud,250
Tracklok,Gridlok,800,64x0.55BMT Stud,250
Tracklok,Gridlok,1000,64x0.55BMT Stud,250
Tracklok,Gridlok,1200,64x0.55BMT Stud,250
Tracklok,Gridlok,1400,92x0.75BMT Stud,280
Tracklok,Gridlok,1600,92x0.75BMT Stud,270
Tracklok,Gridlok,1800,92x0.75BMT Stud,270
Tracklok,Gridlok,2000,Boxed 64x0.55BMT Studs,250
Tracklok,Gridlok,2200,Boxed 64x0.55BMT Studs,250
Tracklok,Gridlok,2400,Boxed 64x0.55BMT Studs,250
Tracklok,Gridlok,2600,Boxed 64x0.55BMT Studs,250
Tracklok,Gridlok,2800,Boxed 92x0.75BMT Studs,280
Tracklok,Gridlok,3000,Boxed 92x0.75BMT Studs,280
